Ubigeo;Fecha-Actualizacion;Departamento;Provincia;Distrito;CentroPoblado;Modular;Anexo;Nombre;Direccion;NivelEducativo;NroUsuarios;DescripcionUT;Comite;Item
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1679943;0;HEROES DEL CENEPA;HEROES DEL CENEPA;INICIAL;72; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;307116;0;CORAZON DE JESUS;CALLE COMANDANTE CANGA 600;PRIMARIA;262; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;307074;0;PIO XII;AVENIDA BRASIL 325;PRIMARIA;504; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1338052;0;G.U.E.MARIANO MELGAR VALDIVIESO;AVENIDA JESUS 513;INICIAL;89; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1339688;0;ANGEL GABRIEL;CALLE PIURA 1306;INICIAL;73; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;634212;0;MARIANO BUSTAMANTE;M BUSTAMANTE MZ G;INICIAL;19; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1669829;0;SAN FRANCISCO JAVIER - CIRCA;CALLE ESQUINA BEETHOVEN - HERNE MZ E LOTE 1 SECTOR 1 AA.HH.;INICIAL;64; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;287698;0;41030 EDUARDO LOPEZ DE ROMAÑA;AVENIDA SIMON BOLIVAR 1201;PRIMARIA;420; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;287706;0;41031 MADRE DEL DIVINO AMOR;CALLE JUAN MANUEL POLAR 407;PRIMARIA;461; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1118405;0;CERRITO BELEN;CALLE SUB AMERICA S/N;INICIAL;22; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;634543;0;SAN MARTIN A;AVENIDA GARCILAZO DE LA VEGA CUADRA 2 S/N;INICIAL;76; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1261767;0;CORAZON DE JESUS;CALLE COMANDANTE CANGA 600;INICIAL;72; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;472191;0;40076;CALLE PROLONG CAP NOVOA S/N;PRIMARIA;169; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;529008;0;40283 DIVINO MAESTRO;CALLE ARIAS ARAGUEZ 1006;PRIMARIA;143; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1364397;0;40695 ESCUELA CONCERTADA SOLARIS;LOS OLIVOS MZ W LOTE 1;INICIAL;79; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;472183;0;ATALAYA;AVENIDA PROLONG LIMA 1803;INICIAL;84; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1271964;0;40695 ESCUELA CONCERTADA SOLARIS;LOS OLIVOS MZ W LOTE 1;PRIMARIA;181; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;1666650;0;SAN FRANCISCO JAVIER - CIRCA;CALLE ESQUINA BEETHOVEN - HERNE MZ E LOTE 1 SECTOR 1 AA.HH.;PRIMARIA;154; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
40109;22/04/2022;AREQUIPA;AREQUIPA;MARIANO MELGAR;MARIANO MELGAR;219410;0;40134;CALLE PARQUE BOLIVAR 103;PRIMARIA;543; AREQUIPA;AREQUIPA 1;MARIANO MELGAR 
